word,grade,set (week),definition,sentence
active,5,5,"moving, working, or taking part",The volcano is still active.
passive,5,5,not taking action or not actively participating,A passive observer watches without joining in.
sprint,5,5,to run at full speed for a short distance,She can sprint across the field quickly.
allowable,5,5,permitted or accepted by rules,Only allowable materials may be used during the test.
suitable,5,5,right or appropriate for a purpose,These shoes are suitable for hiking.
distinguishable,5,5,able to be recognized as different,The twins became distinguishable by their haircuts.
preferable,5,5,more desirable than another choice,Walking is preferable when the weather is pleasant.
debatable,5,5,open to disagreement or discussion,Whether the ending was fair is debatable.
matter,5,5,anything that has mass and takes up space,All physical objects are made of matter.
gaseous,5,5,in the form of a gas,Water vapor is gaseous water.
solidify,5,5,to become or make something solid,Melted wax will solidify as it cools.
petroleum,5,5,a naturally occurring liquid fossil fuel used to make fuels and many products,Gasoline can be made from petroleum.
January,5,6,the first month of the year,January is the first month of the year.
England,5,6,a country that is part of the United Kingdom,England is part of the United Kingdom.
design,5,6,"a plan for how something will look or work, or to create such a plan",The engineer drew a design for the bridge.
bruise,5,6,a dark or sore area caused by an injury under the skin,She got a small bruise after bumping her leg.
awkward,5,6,"clumsy, uncomfortable, or difficult to handle",The large box was awkward to carry.
picnic,5,6,a meal eaten outdoors,We had a picnic in the park.
bicycle,5,6,a two-wheeled vehicle moved by pedals,He rode his bicycle to the trail.
triple,5,6,three times as much or made of three parts,Triple four is twelve.
trilogy,5,6,"a group of three related books, movies, or other works",She read all three novels in the trilogy.
trinity,5,6,"a group of three; in Christianity, the Father, Son, and Holy Spirit",The word trinity can refer to a group of three.
duplicate,5,6,"an exact copy, or to make an exact copy",Keep a duplicate of the important document.
quadruple,5,6,four times as much or made of four parts,"If two is quadrupled, the result is eight."
unicycle,5,6,a vehicle like a bicycle but with one wheel,The performer balanced on a unicycle.
duplex,5,6,a building divided into two separate homes,Two families live in the duplex.
uniform,5,6,"special clothing worn by members of a group, or staying the same",The team wore a blue uniform.
quartet,5,6,"a group of four people or things, especially musicians",A string quartet played at the concert.
quadrant,5,6,"one of four equal sections, especially of a circle or coordinate plane",The point lies in the first quadrant.
octave,5,6,a musical interval spanning eight notes of a scale,The singer moved up an octave.
rhythm,5,6,a regular pattern of beats or movement,Clap the rhythm of the song.
cadence,5,6,"a regular beat, flow, or pattern of sounds",The drummer kept a steady cadence.
February,5,7,the second month of the year,February is the second month of the year.
discard,5,7,to throw away or get rid of something,Discard the damaged paper.
valley,5,7,low land between hills or mountains,A river flowed through the valley.
freight,5,7,"goods carried by truck, train, ship, or aircraft",The train carried freight across the country.
canter,5,7,a horse’s gait faster than a trot but slower than a gallop,The horse moved from a trot to a canter.
vocabulary,5,7,"the words a person knows or uses, or words used in a subject",Reading helps build vocabulary.
aware,5,7,knowing or noticing something,Be aware of traffic when crossing the street.
trouble,5,7,"difficulty, problems, or danger",The computer had trouble connecting to the network.
situation,5,7,the set of conditions happening at a particular time,We discussed the situation before deciding what to do.
station,5,7,a place where a service operates or where vehicles stop,We waited for the train at the station.
description,5,7,words that explain what someone or something is like,Her description helped us picture the setting.
prescription,5,7,a doctor’s written instruction for medicine or treatment,The pharmacist filled the prescription.
subscription,5,7,"an arrangement to receive a service or publication regularly, usually for payment",The library has a subscription to the magazine.
fashion,5,7,"a popular style, especially of clothing or design",The museum displayed fashion from the 1920s.
introduction,5,7,the beginning that presents a topic or person,The introduction explains what the report is about.
dedication,5,7,strong commitment to a task or purpose,Her dedication to practice improved her skills.
divisible,5,7,able to be divided evenly with no remainder,Twelve is divisible by three.
factor,5,7,a number multiplied by another to make a product,Three is a factor of twelve.
composite,5,7,"made of several parts; in math, having more than two factors",Twelve is a composite number.
greatest,5,7,"largest or highest in amount, size, or degree",Twelve is the greatest number in the set.
April,5,8,the fourth month of the year,April is the fourth month of the year.
coward,5,8,a person who lacks courage in a difficult situation,The character feared being called a coward.
breakfast,5,8,the first meal of the day,We ate breakfast before school.
remarkable,5,8,unusual and worthy of attention,The athlete made a remarkable recovery.
application,5,8,"a formal request, a use of something, or a computer program",She submitted an application for the summer program.
vanish,5,8,to disappear suddenly or completely,The fog seemed to vanish after sunrise.
saucer,5,8,"a small shallow dish, often placed under a cup",The teacup sat on a saucer.
Hawaii,5,8,a state in the United States,Hawaii is one of the 50 U.S. states.
politician,5,8,a person involved in government or seeking public office,The politician answered questions at the town meeting.
information,5,8,facts or knowledge about something,The website provides information about the museum.
recession,5,8,a period when economic activity declines,"During a recession, businesses may sell less and hire fewer workers."
concession,5,8,"something given up in an agreement, or a place selling food at an event",We bought popcorn at the concession stand.
deception,5,8,the act of making someone believe something false,The magician’s trick used harmless deception.
production,5,8,"the process of making goods, food, art, or other output",The factory increased production this month.
reduction,5,8,"a decrease in size, amount, or number",The new bulbs caused a reduction in electricity use.
domination,5,8,control over others or a situation,The story describes one empire’s domination of nearby lands.
loyal,5,8,faithful and supportive,The loyal dog stayed beside its owner.
renewable,5,8,able to be naturally replaced or replenished,Wind is a renewable source of energy.
vertical,5,8,straight up and down; at a right angle to a level surface,Draw a vertical line.
panel,5,8,a flat section of a surface or a group chosen to discuss or judge something,A solar panel turns sunlight into electricity.
June,5,9,the sixth month of the year,June is the sixth month of the year.
Massachusetts,5,9,a state in the United States,Massachusetts is one of the 50 U.S. states.
single,5,9,only one,She chose a single flower.
novel,5,9,"a long fictional book, or new and unusual",He borrowed a mystery novel.
horizon,5,9,the line where the sky seems to meet the land or sea,The sun sank below the horizon.
eagle,5,9,a large bird of prey with strong wings and sharp eyesight,The eagle soared above the valley.
recent,5,9,happening or beginning not long ago,We talked about a recent event.
ancestor,5,9,a person in your family who lived in an earlier generation,She learned that one ancestor came from Italy.
walrus,5,9,a large sea mammal with tusks and flippers,The walrus rested on the ice.
escape,5,9,to get away from a place or danger,The rabbit found a way to escape the enclosure.
authenticity,5,9,the quality of being real or genuine,Experts checked the painting’s authenticity.
criticize,5,9,"to point out problems or faults, often by giving an opinion",It is more helpful to explain than simply criticize.
ethnicity,5,9,"a shared cultural background connected to ancestry, language, traditions, or history",The survey asked optional questions about ethnicity.
publicity,5,9,public attention or information used to make something widely known,The festival received publicity in the local newspaper.
elasticity,5,9,the ability to return to an original shape after being stretched or compressed,A rubber band has high elasticity.
voyage,5,9,"a long journey, especially by sea or through space",The ship began its voyage across the ocean.
persecution,5,9,cruel or unfair treatment of people because of their identity or beliefs,Many pilgrims fled persecution in Europe.
pilgrim,5,9,"a person who travels to a sacred place, or historically one of certain early settlers in New England",The pilgrim traveled to a holy site.
compact,5,9,small and arranged to use little space,The compact camera fits in a small bag.
agreement,5,9,"a shared decision, understanding, or arrangement",The two groups reached an agreement.
July,5,10,the seventh month of the year,July is the seventh month of the year.
gopher,5,10,a small burrowing animal that lives underground,The gopher dug a tunnel in the soil.
practice,5,10,"repeated activity done to improve a skill, or to do something repeatedly for improvement",We practice multiplication facts each day.
archery,5,10,the sport or skill of shooting arrows with a bow,She learned archery at camp.
straight,5,10,not curved or bent; following the shortest line between points,Use a ruler to draw a straight line.
comet,5,10,a small icy object that travels around the sun and may form a glowing tail,We saw a photograph of a comet with a long tail.
statement,5,10,something said or written to give information or express an idea,The witness gave a clear statement.
secretary,5,10,"a person who organizes records, messages, schedules, or office work",The school secretary answered the phone.
galaxy,5,10,"a huge group of stars, gas, and dust held together by gravity",Our solar system is in the Milky Way galaxy.
universe,5,10,"all space, time, matter, and energy that exist",Our galaxy is one small part of the universe.
commercial,5,10,related to business or advertising,The company aired a television commercial.
financial,5,10,relating to money,The family made a financial plan for the trip.
racial,5,10,relating to socially defined groups often based on ancestry or physical traits,The class discussed racial equality in history.
sacrificial,5,10,involving giving up something valued for a larger purpose,The character made a sacrificial choice to help others.
circumstantial,5,10,based on surrounding facts rather than direct proof,The detective considered circumstantial evidence.
process,5,10,a series of actions or changes that lead to a result,Photosynthesis is a process plants use to make food.
rely,5,10,to depend on someone or something,We rely on evidence when making a scientific claim.
exchange,5,10,to give one thing and receive another in return,The students exchange books after reading them.
oxygen,5,10,a gas in the air that people and many other living things need to breathe,Our bodies need oxygen.
respiratory,5,10,relating to breathing and the organs used to breathe,The lungs are part of the respiratory system.
suppose,5,11,to think or assume something is likely or true,I suppose the bus will arrive soon.
August,5,11,the eighth month of the year,August is the eighth month of the year.
coast,5,11,land next to the sea,We drove along the coast.
noodle,5,11,a thin strip of dough cooked and eaten as food,She added a noodle to the soup.
period,5,11,a mark (.) used at the end of a sentence,Put a period at the end of the sentence.
autumn,5,11,the season between summer and winter,Leaves change color in autumn.
lizard,5,11,"a reptile with a long body, tail, and usually four legs",The lizard warmed itself on a rock.
ambulance,5,11,a vehicle that carries sick or injured people for medical care,An ambulance arrived to help the injured cyclist.
substantial,5,11,"large, important, or solid in amount",The project required a substantial amount of work.
torrential,5,11,"falling or flowing very heavily, especially rain",Torrential rain flooded the street.
essential,5,11,completely necessary or very important,Water is essential for life.
impartial,5,11,fair and not favoring one side,A judge should remain impartial.
influential,5,11,"having the power to affect people, events, or ideas",The book was influential in changing public opinion.
palatial,5,11,very large and impressive like a palace,The historic home had palatial rooms.
residential,5,11,relating to places where people live,The road passes through a residential neighborhood.
turtle,5,11,a reptile with a hard shell covering its body,The turtle pulled its head into its shell.
tortoise,5,11,a land-dwelling reptile with a hard shell,The tortoise moved slowly across the ground.
mustard,5,11,a yellow or brown condiment made from mustard seeds,I put mustard on my sandwich.
symbol,5,11,"a mark, object, or image that represents something else",A heart can be a symbol of love.
brace,5,11,a support used to hold something steady or in position,The doctor placed a brace on his injured wrist.
September,5,12,the ninth month of the year,September is the ninth month of the year.
conceive,5,12,to form an idea or imagine something,The inventor conceived a new way to solve the problem.
insurance,5,12,an arrangement that helps pay for certain losses or costs in exchange for payments,Health insurance can help cover medical expenses.
spaghetti,5,12,"long, thin pasta strands",We ate spaghetti with tomato sauce.
strange,5,12,unusual or unfamiliar,We heard a strange sound outside.
caught,5,12,"past tense of catch; captured, held, or noticed something",She caught the ball with both hands.
agility,5,12,the ability to move quickly and easily,The dog showed agility on the obstacle course.
hyena,5,12,a doglike African animal known for strong jaws and a laughing-like call,The hyena searched for food at night.
flavor,5,12,the taste of a food or drink,Vanilla is my favorite ice cream flavor.
captain,5,12,"the person in charge of a team, ship, or group",The team captain encouraged the players.
advocate,5,12,"a person who supports a cause, or to publicly support something",She became an advocate for cleaner parks.
alternate,5,12,"to switch back and forth, or occurring every other one",We alternate turns reading aloud.
articulate,5,12,"able to express ideas clearly, or to speak clearly",He was able to articulate his reasoning.
graduate,5,12,"a person who has completed a course of study, or to complete one",The graduate received her diploma.
attribute,5,12,"a quality or feature of someone or something, or to say something was caused by a source",Patience is a useful attribute.
frequent,5,12,happening often,Frequent practice improves fluency.
thorough,5,12,complete and careful,She gave the report a thorough review.
transfer,5,12,to move something or someone from one place to another,Transfer the data to the new file.
bacteria,5,12,tiny single-celled organisms; some are helpful and some can cause disease,Some bacteria help us digest food.
virus,5,12,a tiny infectious agent that can reproduce only inside living cells,A virus can make people sick.
direct,5,13,"straight, without stopping, or to guide something",We took a direct route to the museum.
October,5,13,the tenth month of the year,October is the tenth month of the year.
pharmacy,5,13,a place where medicines are prepared and sold,We picked up the medicine at the pharmacy.
scissors,5,13,a cutting tool with two blades joined at a pivot,Use scissors to cut along the line.
skunk,5,13,a small black-and-white animal that can spray a strong-smelling liquid,The skunk crossed the road at night.
increase,5,13,"to become or make greater in amount, size, or number",Exercise can increase your heart rate.
convict,5,13,a person who has been found guilty of a crime,The story was about a convict who later changed his life.
finance,5,13,the management of money,The lesson explained basic personal finance.
wound,5,13,an injury in which skin or body tissue is hurt,The nurse cleaned the small wound.
business,5,13,"an organization that sells goods or services, or commercial activity",Her family owns a small bakery business.
separate,5,13,to divide or keep apart,Separate the paper from the plastic for recycling.
approximate,5,13,close to the exact amount but not exact,The approximate distance is five kilometers.
estimate,5,13,a reasonable guess based on available information,Estimate the number of beans in the jar.
associate,5,13,"to connect one thing with another, or a person who works with others",Many people associate dark clouds with rain.
certificate,5,13,an official document showing that something is true or completed,She received a certificate after finishing the course.
colony,5,13,a group of people or living things settled or living together in one place,The ants live together in a colony.
spherical,5,13,shaped like a sphere or ball,Earth is roughly spherical.
projection,5,13,"an image cast onto a surface, a prediction, or a way of showing a curved surface on a flat map",The map projection changes the shapes of some regions.
navigation,5,13,the process of finding and following a route,The sailors used stars for navigation.
cartographer,5,13,a person who makes maps,The cartographer drew a detailed map.
calico,5,14,"cotton cloth printed with a colorful pattern, or an animal with patches of several colors","The calico cat had orange, black, and white patches."
November,5,14,the eleventh month of the year,November is the eleventh month of the year.
library,5,14,a place or collection where books and other information resources are kept,I borrowed a book from the library.
hospital,5,14,a place where people receive medical care,The patient was treated at the hospital.
restaurant,5,14,a business where meals are prepared and served to customers,We ate dinner at a restaurant.
clinic,5,14,"a place where people receive medical care, often without staying overnight",The clinic offers routine checkups.
student,5,14,a person who studies or learns at a school or program,Each student completed the assignment.
human,5,14,a person; a member of the human species,"Every human needs food, water, and air."
shelf,5,14,a flat surface used to store or display things,Put the book on the shelf.
shelves,5,14,more than one shelf,The library has rows of shelves.
alumnus,5,14,a male graduate or former student of a school,The alumnus returned to speak at his former school.
alumni,5,14,people who graduated from a school,The alumni returned to visit their old school.
cactus,5,14,"a plant adapted to dry places, often with thick stems and spines",The cactus stores water in its stem.
cacti,5,14,more than one cactus,Several cacti grew in the dry desert.
nucleus,5,14,"the part of many cells that contains genetic material, or the central core of something",DNA is stored in the cell nucleus.
nuclei,5,14,the centers of cells or atoms; plural of nucleus,The students learned about nuclei in science.
stomach,5,14,an organ that helps digest food after it is swallowed,Food moves from the esophagus into the stomach.
esophagus,5,14,the tube that carries food from the throat to the stomach,Swallowed food travels down the esophagus.
digestive,5,14,relating to the body’s process of breaking down food,The stomach is part of the digestive system.
intestine,5,14,a long part of the digestive system where nutrients and water are absorbed,Much nutrient absorption happens in the small intestine.
supply,5,15,"an amount available for use, or to provide what is needed",The town keeps an emergency water supply.
December,5,15,the twelfth month of the year,December is the twelfth month of the year.
reindeer,5,15,"a deer from cold northern regions, also called caribou in North America",The reindeer walked across the snow.
insect,5,15,a small animal with six legs and three main body parts,An ant is an insect.
internal,5,15,inside something or relating to its inner parts,The lungs are internal organs.
external,5,15,outside something or relating to its outer parts,The skin forms an external covering.
doctor,5,15,a trained medical professional who diagnoses and treats illness or injury,The doctor listened to the patient’s heartbeat.
provide,5,15,to give or make something available,Trees provide shade.
wolf,5,15,a wild animal related to dogs that often lives and hunts in groups,The wolf howled in the distance.
wolves,5,15,more than one wolf,The wolves moved together through the forest.
fungus,5,15,"a living thing such as a mushroom, mold, or yeast that is not a plant or animal",A mushroom is a kind of fungus.
fungi,5,15,more than one fungus,Mushrooms and molds are fungi.
hippopotamus,5,15,a very large African mammal that spends much of its time in water,The hippopotamus rested in the river.
hippopotami,5,15,more than one hippopotamus,The hippopotami rested near the water.
octopus,5,15,a sea animal with a soft body and eight arms,The octopus hid between the rocks.
octopi,5,15,more than one octopus,The octopi hid among the rocks.
elf,5,15,a small magical creature in traditional stories,The story was about an elf in the forest.
elves,5,15,more than one elf,The elves worked together in the story.
connection,5,15,"a link or relationship between people, things, or ideas",The bridge creates a connection between the two shores.
interstate,5,15,a major highway that connects states in the United States,We traveled south on the interstate.
thus,5,16,in this way or as a result,"The road was icy, thus making travel slower."
Louisiana,5,16,a state in the United States,Louisiana is one of the 50 U.S. states.
ignore,5,16,to deliberately pay no attention to something,Do not ignore a warning sign.
chapter,5,16,one main section of a book,We read the next chapter.
mall,5,16,a large shopping center,The mall has many stores.
volunteer,5,16,"a person who offers to help without being forced or usually paid, or to offer such help",I volunteer at the food drive.
modern,5,16,related to the present or recent times,The museum has a modern building.
compound,5,16,"something made of two or more parts; in chemistry, a substance made of different elements chemically joined",Water is a chemical compound.
grinned,5,16,smiled broadly,He grinned when he saw the surprise.
plugged,5,16,"filled, blocked, or connected with a plug",She plugged the charger into the wall.
admitted,5,16,acknowledged something was true or allowed someone to enter,He admitted that he had made the mistake.
controlled,5,16,"directed, managed, or kept within limits",The experiment used a controlled temperature.
permitted,5,16,allowed,Phones are not permitted during the test.
referred,5,16,mentioned or directed someone to another source or person,The article referred to an earlier study.
inferred,5,16,reached a conclusion from evidence rather than a direct statement,We inferred the character was tired from the clues.
settlement,5,16,"a place where people establish a community, or an agreement that ends a dispute",The early settlement grew into a town.
porcupine,5,16,a rodent covered with sharp quills used for defense,The porcupine raised its quills.
notation,5,16,a system of written symbols used to represent information,Scientific notation makes very large numbers easier to write.
exponent,5,16,a number showing how many times a base is multiplied by itself,"In 3², the exponent is 2."
standard,5,16,"a level, rule, or model used for comparison or quality",The product must meet the safety standard.
California,5,17,a state in the United States,California is one of the 50 U.S. states.
scowl,5,17,an angry or displeased facial expression,He gave a scowl when he heard the unfair rule.
cougar,5,17,"a large wild cat of the Americas, also called a mountain lion",The cougar moved quietly through the forest.
encounter,5,17,to meet or experience something unexpectedly,We may encounter steep trails on the hike.
soldiers,5,17,members of an army,The soldiers returned home after the war.
exodus,5,17,a large departure of people from a place,The disaster caused an exodus from the town.
silent,5,17,making no sound,The room became silent.
running,5,17,moving quickly on foot so that both feet may leave the ground,Running helps build endurance.
knitting,5,17,making fabric by looping yarn together with needles or a machine,She learned knitting from her grandmother.
stopping,5,17,bringing movement or an action to an end,Stopping at a red light is required.
forgetting,5,17,failing to remember something,Forgetting your password can be frustrating.
expelling,5,17,forcing something or someone out,The lungs are expelling air when we breathe out.
rubbing,5,17,moving something back and forth against a surface,Rubbing the balloon on fabric can build static charge.
equipping,5,17,providing the tools or supplies needed for a purpose,They are equipping the lab with new microscopes.
regretting,5,17,feeling sorry about a past choice or event,He was regretting his unkind comment.
winning,5,17,succeeding in a contest or competition,"Winning was exciting, but the team also valued good sportsmanship."
slamming,5,17,closing or hitting with sudden force and a loud sound,Avoid slamming the door.
inherit,5,17,"to receive property, traits, or characteristics from someone who came before",Children inherit genes from their parents.
gene,5,17,a section of DNA that carries instructions for traits and cell functions,A gene can influence a trait such as eye color.
chromosome,5,17,a structure made of DNA and proteins that carries genes in a cell,Humans normally have chromosomes arranged in pairs.
Antarctica,5,18,the icy continent around the South Pole,Antarctica is the coldest continent.
headache,5,18,pain in the head,She rested because she had a headache.
enjoy,5,18,to take pleasure in something,I enjoy reading mysteries.
conflict,5,18,"a serious disagreement, struggle, or clash",The characters resolved their conflict by talking.
indicate,5,18,"to point out, show, or suggest something",Dark clouds may indicate rain.
throughout,5,18,in every part of a place or during all of a time,It rained throughout the afternoon.
expect,5,18,to believe something is likely to happen,We expect the package tomorrow.
exhausting,5,18,very tiring,The long hike was exhausting.
frustrating,5,18,causing annoyance because something is difficult or blocked,The broken zipper was frustrating.
interesting,5,18,holding attention or curiosity,The science experiment was interesting.
appearing,5,18,becoming visible or seeming to be a certain way,Stars were appearing as the sky grew dark.
complaining,5,18,expressing unhappiness or annoyance,"Instead of complaining, he suggested a solution."
explaining,5,18,making something easier to understand by giving information,She was explaining each step of the solution.
developing,5,18,"growing, changing, or being created over time",The seedlings are developing new leaves.
benefiting,5,18,receiving an advantage or improvement,The garden is benefiting from the rain.
evaluating,5,18,judging quality or value using evidence or standards,We are evaluating which design works best.
investigating,5,18,examining something carefully to learn the facts,The class is investigating how plants respond to light.
protein,5,18,a nutrient and body-building molecule made from amino acids,Eggs contain protein.
carbohydrates,5,18,nutrients that include sugars and starches and are an important source of energy,Bread and rice contain carbohydrates.
calories,5,18,units used to measure energy in food,Food labels show the number of calories in a serving.
sense,5,19,"a way of understanding or detecting something, especially through sight, hearing, smell, taste, or touch",Our sense of smell helps us notice odors.
Canada,5,19,a country north of the United States,Canada is north of the United States.
substitute,5,19,a person or thing used in place of another,A substitute teacher led the class today.
famous,5,19,known by many people,The city is famous for its historic buildings.
giant,5,19,"extremely large, or an imaginary very large humanlike being",A giant oak tree shaded the yard.
colonel,5,19,a military officer rank above lieutenant colonel,The colonel spoke to the soldiers.
improving,5,19,becoming better or making something better,Her reading speed is improving with practice.
upsetting,5,19,"causing worry, sadness, or distress",The upsetting news made everyone quiet.
exciting,5,19,causing strong interest or enthusiasm,The championship game was exciting.
branches,5,19,"parts of a tree growing from the trunk, or divisions of an organization",Birds rested on the tree branches.
editing,5,19,reviewing and changing work to correct or improve it,Editing helped make the essay clearer.
entering,5,19,going or coming into a place,Students were entering the auditorium.
exiting,5,19,leaving a place,People were exiting through the side door.
limiting,5,19,"restricting the amount, size, or range of something",Limiting screen time can leave more time for other activities.
suffering,5,19,"experiencing pain, hardship, or distress",The injured animal was suffering and needed help.
threatening,5,19,showing an intention or possibility of harm,The dark sky looked threatening before the storm.
speculating,5,19,forming ideas or guesses without complete evidence,We were speculating about what might happen next in the story.
property,5,19,"something owned, or a quality that something has",Flexibility is a property of rubber.
representation,5,19,"something that stands for, describes, or shows something else",The map is a representation of the region.
suffrage,5,19,the right to vote in political elections,The movement fought for women’s suffrage.
Mexico,5,20,a country south of the United States,Mexico is south of the United States.
delight,5,20,great pleasure or joy,The puppy’s tricks were a delight to watch.
burglar,5,20,a person who enters a building illegally to steal,The story’s burglar was caught by police.
museum,5,20,"a place that collects, preserves, and displays objects of historical, scientific, or artistic interest",We saw dinosaur fossils at the museum.
leopard,5,20,a large wild cat with a spotted coat,The leopard climbed a tree.
consequently,5,20,as a result,"It snowed; consequently, school was closed."
cloudiness,5,20,the amount of the sky covered by clouds,The cloudiness increased before the rain.
considerable,5,20,fairly large in amount or importance,The project required considerable effort.
suggested,5,20,offered an idea for consideration,She suggested meeting after school.
perishable,5,20,likely to spoil or decay quickly,Milk is a perishable food.
corresponding,5,20,matching or related to something else,Match each state with its corresponding capital.
regrettable,5,20,unfortunate or worthy of regret,The cancellation was regrettable but necessary.
pronouncing,5,20,saying a word or sound aloud in a particular way,We practiced pronouncing the new vocabulary words.
beginning,5,20,the start of something,The beginning of the story introduces the main character.
committing,5,20,"doing or carrying out an action, especially a serious one",Committing to regular practice requires discipline.
powerful,5,20,"having great strength, force, or influence",The storm produced powerful winds.
concentration,5,20,"focused attention, or the amount of a substance in a mixture",The experiment measured the salt concentration in water.
adaptation,5,20,"a change or feature that helps a living thing survive, or a work changed into another form",Thick fur is an adaptation to cold climates.
generation,5,20,"a group of people born around the same time, or the production of something",Stories were passed from one generation to the next.
webbed,5,20,"connected by a thin area of skin, especially between toes",Ducks have webbed feet that help them swim.
solstice,5,21,either of the two times each year when the sun reaches its farthest north or south position in the sky,The summer solstice has the most daylight of the year in the Northern Hemisphere.
entered,5,21,went or came into a place,We entered the building through the front door.
Egypt,5,21,a country in northeastern Africa,Egypt is famous for its ancient pyramids.
laughter,5,21,the sound or action of laughing,Laughter filled the room after the joke.
incidentally,5,21,used when adding a related but less important point,"Incidentally, I found your missing pencil."
whisper,5,21,to speak very quietly,Please whisper in the library.
chief,5,21,the leader or most important person in a group,The fire chief spoke about safety.
entrance,5,21,a place or way to enter,Meet me at the main entrance.
expensive,5,21,costing a lot of money,The new computer was expensive.
tentative,5,21,not final or certain yet,We made a tentative plan for Saturday.
measuring,5,21,"finding the size, amount, or degree of something",We are measuring the table with a ruler.
tolerating,5,21,accepting or enduring something difficult or unpleasant,The plant is tolerating the dry weather well.
nautical,5,21,"relating to ships, sailors, or navigation at sea",A nautical chart helps sailors navigate.
replacing,5,21,putting a new person or thing in the place of another,We are replacing the broken bulb.
forbidding,5,21,"not allowing something, or seeming unfriendly or threatening",The sign was forbidding visitors from entering.
inquiry,5,21,a question or an investigation to find information,The student sent an inquiry about the program.
eventually,5,21,"in the end, after some time",The rain eventually stopped.
accompany,5,21,to go somewhere with someone or happen together with something,An adult will accompany the group.
abacus,5,21,a counting tool with beads that slide on rods or wires,The child moved beads on the abacus.
technique,5,21,a particular method or way of doing something skillfully,She learned a new painting technique.
Spain,5,22,a country in southwestern Europe,Spain is a country in Europe.
visual,5,22,relating to seeing or images,The chart provides a visual explanation of the data.
thunder,5,22,the loud sound caused by rapidly expanding air after lightning,We heard thunder after the flash of lightning.
antelope,5,22,a fast-running hoofed animal related to cattle and goats,The antelope ran across the grassland.
freeze,5,22,to become solid from cold or to become extremely cold,Water can freeze at zero degrees Celsius.
major,5,22,very important or large in effect,The storm caused major damage.
Virginia,5,22,a state in the United States,Virginia is one of the 50 U.S. states.
trophy,5,22,an award given for success in a contest or activity,The team won a trophy.
necessary,5,22,needed or required,A password is necessary to access the account.
solemn,5,22,serious and respectful,The audience was solemn during the memorial.
adhesive,5,22,a substance used to make things stick together,The adhesive held the paper pieces together.
addict,5,22,a person who cannot easily stop a harmful habit or substance use,The health lesson explained how addiction can affect an addict.
adhere,5,22,to stick firmly or follow a rule or belief,The label will adhere to a clean surface.
adjacent,5,22,next to or very near,Our classroom is adjacent to the library.
adjourn,5,22,to end or pause a meeting until later,The council voted to adjourn the meeting.
admission,5,22,"permission to enter, the cost of entering, or an act of admitting something",Museum admission is free for children today.
adjustment,5,22,"a small change made to improve fit, position, or performance",The chair needed a height adjustment.
advertisement,5,22,"a public message designed to promote a product, service, event, or idea",The magazine contained an advertisement for a new game.
exploration,5,22,"the act of traveling, examining, or studying to learn more",Space exploration has taught us about other planets.
conquest,5,22,the act of gaining control of a place or people by force,The history class studied the conquest of the empire.
Italy,5,23,a country in southern Europe,Italy is a country in Europe.
cruel,5,23,causing pain or suffering without kindness,It is cruel to mistreat animals.
Delaware,5,23,a state in the United States,Delaware is one of the 50 U.S. states.
needle,5,23,a thin pointed tool used for sewing,She threaded the needle carefully.
sandwich,5,23,food made by placing a filling between pieces of bread,I packed a turkey sandwich for lunch.
magenta,5,23,a bright purplish-red color,She used magenta paint in the picture.
particular,5,23,specific or special rather than general,Use this particular example in your explanation.
competition,5,23,a contest in which people or groups try to win,The robotics competition begins Saturday.
communication,5,23,the exchange of information or ideas,Clear communication helps teams work together.
comparison,5,23,the act of examining how things are alike or different,The report includes a comparison of the two designs.
compensate,5,23,"to make up for a loss or disadvantage, often by giving payment",The company will compensate workers for overtime.
companion,5,23,a person or animal who spends time with another,The dog was her hiking companion.
committee,5,23,a group chosen to perform a task or make decisions,The committee planned the school event.
commission,5,23,"a group given an official task, or payment based on sales",The city formed a commission to study traffic.
completely,5,23,fully; in every way,The snow completely covered the field.
atmosphere,5,23,the layer of gases surrounding a planet or moon,Earth’s atmosphere contains nitrogen and oxygen.
troposphere,5,23,"the lowest layer of Earth's atmosphere, where most weather happens",Most clouds form in the troposphere.
stratosphere,5,23,a layer of Earth’s atmosphere above the troposphere,The ozone layer is mainly in the stratosphere.
mesosphere,5,23,a layer of Earth's atmosphere above the stratosphere,Many meteors burn up in the mesosphere.
thermosphere,5,23,a high layer of Earth's atmosphere where temperatures can be very hot,The thermosphere is high above Earth's surface.
Brazil,5,24,a large country in South America,Brazil is the largest country in South America.
salmon,5,24,a fish that often swims from the ocean into rivers to reproduce,The salmon swam upstream.
spectacle,5,24,an impressive or unusual sight or event,The fireworks were a bright spectacle.
industry,5,24,businesses that produce a particular kind of product or service,The automobile industry employs many workers.
conscience,5,24,an inner sense of right and wrong,Her conscience told her to return the lost wallet.
casual,5,24,"relaxed, informal, or happening by chance",The picnic had a casual atmosphere.
sausage,5,24,seasoned ground meat or another filling formed into a long shape or casing,He cooked a sausage for breakfast.
rivalry,5,24,ongoing competition between people or groups,The two teams have a friendly rivalry.
realize,5,24,to understand or become aware of something,I did not realize the library closed early.
quarrel,5,24,an angry disagreement,The friends settled their quarrel by talking.
collate,5,24,to gather and arrange items in the correct order,Please collate the pages before stapling them.
collapse,5,24,to fall down suddenly or fail completely,The weak cardboard box began to collapse.
collide,5,24,to crash into something,The two toy cars collide at the bottom of the ramp.
colleague,5,24,a person you work with,She asked a colleague to review the report.
